1:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) % astPosition.get(b.getValue())
242:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleStmt(com.google.javascript.rhino.Node):671:connectToPossibleExceptionHandler(node, node) |==> <NO-OP>
243:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):713:parent == null |==> false
244:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):713:parent == null || parent.isFunction() |==> parent == null != parent.isFunction()
245:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):713:parent == null || parent.isFunction() |==> parent == null
246:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):713:parent == null || parent.isFunction() |==> parent.isFunction()
247:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):713:parent == null || parent.isFunction() |==> true
248:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):714:cfa != null |==> true
249:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):714:node == cfa.root |==> false
250:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):714:cfa != null && node == cfa.root |==> cfa != null == (node == cfa.root)
251:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):714:cfa != null && node == cfa.root |==> false
252:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):714:cfa != null && node == cfa.root |==> cfa != null
253:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):714:cfa != null && node == cfa.root |==> node == cfa.root
254:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):713:parent == null || parent.isFunction() || (cfa != null && node == cfa.root) |==> (parent == null || parent.isFunction()) != (cfa != null && node == cfa.root)
255:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):713:parent == null || parent.isFunction() || (cfa != null && node == cfa.root) |==> parent == null || parent.isFunction()
256:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):714:parent == null || parent.isFunction() || (cfa != null && node == cfa.root) |==> (cfa != null && node == cfa.root)
257:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):713:parent == null || parent.isFunction() || (cfa != null && node == cfa.root) |==> true
258:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):727:parent.getNext() != null |==> true
259:COR:parent.getNext().isCase():TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):728:parent.getNext().isCase() |==> false
260:COR:parent.getNext().isCase():FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):728:parent.getNext().isCase() |==> true
261:COR:parent.getNext().isDefaultCase():TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):730:parent.getNext().isDefaultCase() |==> false
262:COR:parent.getNext().isDefaultCase():FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):730:parent.getNext().isDefaultCase() |==> true
263:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):733:false |==> true
264:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):733:Preconditions.checkState(false, "Not reachable") |==> <NO-OP>
265:COR:NodeUtil.isForIn(parent):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):740:NodeUtil.isForIn(parent) |==> false
266:COR:NodeUtil.isForIn(parent):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):740:NodeUtil.isForIn(parent) |==> true
267:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):750:parent.getFirstChild() == node |==> false
268:COR:NodeUtil.hasFinally(parent):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):751:NodeUtil.hasFinally(parent) |==> false
269:COR:NodeUtil.hasFinally(parent):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):751:NodeUtil.hasFinally(parent) |==> true
270:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):757:NodeUtil.getCatchBlock(parent) == node |==> false
271:COR:NodeUtil.hasFinally(parent):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):758:NodeUtil.hasFinally(parent) |==> false
272:COR:NodeUtil.hasFinally(parent):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):758:NodeUtil.hasFinally(parent) |==> true
273:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):764:parent.getLastChild() == node |==> false
274:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):765:cfa != null |==> true
275:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):767:cfa.createEdge(fromNode, Branch.ON_EX, finallyNode) |==> <NO-OP>
276:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):779:nextSibling != null |==> true
277:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):779:nextSibling != null && nextSibling.isFunction() |==> nextSibling != null == nextSibling.isFunction()
278:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):779:nextSibling != null && nextSibling.isFunction() |==> false
279:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):779:nextSibling != null && nextSibling.isFunction() |==> nextSibling != null
280:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):779:nextSibling != null && nextSibling.isFunction() |==> nextSibling.isFunction()
281:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):780:nextSibling = nextSibling.getNext() |==> <NO-OP>
282:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@computeFollowNode(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowAnalysis):783:nextSibling != null |==> true
283:COR:NodeUtil.isForIn(n):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFallThrough(com.google.javascript.rhino.Node):801:NodeUtil.isForIn(n) |==> false
284:COR:NodeUtil.isForIn(n):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@computeFallThrough(com.google.javascript.rhino.Node):801:NodeUtil.isForIn(n) |==> true
285:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@createEdge(com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch,com.google.javascript.rhino.Node):820:cfg.createNode(fromNode) |==> <NO-OP>
286:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@createEdge(com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch,com.google.javascript.rhino.Node):821:cfg.createNode(toNode) |==> <NO-OP>
287:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@createEdge(com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch,com.google.javascript.rhino.Node):822:cfg.connectIfNotFound(fromNode, branch, toNode) |==> <NO-OP>
288:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):831:mayThrowException(target) && !exceptionHandler.isEmpty() |==> mayThrowException(target) == !exceptionHandler.isEmpty()
289:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):831:mayThrowException(target) && !exceptionHandler.isEmpty() |==> false
290:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):831:mayThrowException(target) && !exceptionHandler.isEmpty() |==> mayThrowException(target)
291:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):831:mayThrowException(target) && !exceptionHandler.isEmpty() |==> !exceptionHandler.isEmpty()
292:COR:handler.isFunction():TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):834:handler.isFunction() |==> false
293:COR:handler.isFunction():FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):834:handler.isFunction() |==> true
294:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):837:Preconditions.checkState(handler.isTry()) |==> <NO-OP>
295:COR:NodeUtil.hasCatchHandler(catchBlock):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):840:NodeUtil.hasCatchHandler(catchBlock) |==> false
296:COR:NodeUtil.hasCatchHandler(catchBlock):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):840:NodeUtil.hasCatchHandler(catchBlock) |==> true
297:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):841:lastJump == cfgNode |==> false
298:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):842:createEdge(cfgNode, Branch.ON_EX, handler.getLastChild()) |==> <NO-OP>
299:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):844:finallyMap.put(lastJump, handler.getLastChild()) |==> <NO-OP>
300:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):847:lastJump == cfgNode |==> false
301:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):848:createEdge(cfgNode, Branch.ON_EX, catchBlock) |==> <NO-OP>
302:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):851:finallyMap.put(lastJump, catchBlock) |==> <NO-OP>
303:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@connectToPossibleExceptionHandler(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):854:lastJump = handler |==> <NO-OP>
304:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@getNextSiblingOfType(com.google.javascript.rhino.Node,int[]):863:c != null |==> true
305:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@getNextSiblingOfType(com.google.javascript.rhino.Node,int[]):865:c.getType() == type |==> c.getType() <= type
306:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@getNextSiblingOfType(com.google.javascript.rhino.Node,int[]):865:c.getType() == type |==> c.getType() >= type
307:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@getNextSiblingOfType(com.google.javascript.rhino.Node,int[]):865:c.getType() == type |==> false
308:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@isBreakTarget(com.google.javascript.rhino.Node,java.lang.String):878:label != null |==> true
309:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@isBreakTarget(com.google.javascript.rhino.Node,java.lang.String):878:isBreakStructure(target, label != null) && matchLabel(target.getParent(), label) |==> isBreakStructure(target, label != null) == matchLabel(target.getParent(), label)
310:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@isBreakTarget(com.google.javascript.rhino.Node,java.lang.String):878:isBreakStructure(target, label != null) && matchLabel(target.getParent(), label) |==> false
311:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@isBreakTarget(com.google.javascript.rhino.Node,java.lang.String):878:isBreakStructure(target, label != null) && matchLabel(target.getParent(), label) |==> isBreakStructure(target, label != null)
312:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@isBreakTarget(com.google.javascript.rhino.Node,java.lang.String):879:isBreakStructure(target, label != null) && matchLabel(target.getParent(), label) |==> matchLabel(target.getParent(), label)
313:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@isContinueTarget(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,java.lang.String):888:isContinueStructure(target) && matchLabel(parent, label) |==> isContinueStructure(target) == matchLabel(parent, label)
314:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@isContinueTarget(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,java.lang.String):888:isContinueStructure(target) && matchLabel(parent, label) |==> false
315:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@isContinueTarget(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,java.lang.String):888:isContinueStructure(target) && matchLabel(parent, label) |==> isContinueStructure(target)
316:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@isContinueTarget(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,java.lang.String):888:isContinueStructure(target) && matchLabel(parent, label) |==> matchLabel(parent, label)
317:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@matchLabel(com.google.javascript.rhino.Node,java.lang.String):895:label == null |==> false
318:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@matchLabel(com.google.javascript.rhino.Node,java.lang.String):896:true |==> false
319:COR:target.getFirstChild().getString().equals(label):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@matchLabel(com.google.javascript.rhino.Node,java.lang.String):899:target.getFirstChild().getString().equals(label) |==> false
320:COR:target.getFirstChild().getString().equals(label):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@matchLabel(com.google.javascript.rhino.Node,java.lang.String):899:target.getFirstChild().getString().equals(label) |==> true
321:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@matchLabel(com.google.javascript.rhino.Node,java.lang.String):900:true |==> false
322:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@matchLabel(com.google.javascript.rhino.Node,java.lang.String):902:target = target.getParent() |==> <NO-OP>
323:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@matchLabel(com.google.javascript.rhino.Node,java.lang.String):904:false |==> true
324:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@mayThrowException(com.google.javascript.rhino.Node):921:true |==> false
325:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@mayThrowException(com.google.javascript.rhino.Node):923:false |==> true
326:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@mayThrowException(com.google.javascript.rhino.Node):925:c != null |==> true
327:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@mayThrowException(com.google.javascript.rhino.Node):926:!ControlFlowGraph.isEnteringNewCfgNode(c) && mayThrowException(c) |==> !ControlFlowGraph.isEnteringNewCfgNode(c) == mayThrowException(c)
328:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@mayThrowException(com.google.javascript.rhino.Node):926:!ControlFlowGraph.isEnteringNewCfgNode(c) && mayThrowException(c) |==> false
329:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@mayThrowException(com.google.javascript.rhino.Node):926:!ControlFlowGraph.isEnteringNewCfgNode(c) && mayThrowException(c) |==> !ControlFlowGraph.isEnteringNewCfgNode(c)
330:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@mayThrowException(com.google.javascript.rhino.Node):926:!ControlFlowGraph.isEnteringNewCfgNode(c) && mayThrowException(c) |==> mayThrowException(c)
331:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@mayThrowException(com.google.javascript.rhino.Node):927:true |==> false
332:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@mayThrowException(com.google.javascript.rhino.Node):930:false |==> true
333:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@isBreakStructure(com.google.javascript.rhino.Node,boolean):942:true |==> false
334:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@isBreakStructure(com.google.javascript.rhino.Node,boolean):948:false |==> true
335:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@isContinueStructure(com.google.javascript.rhino.Node):960:true |==> false
336:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@isContinueStructure(com.google.javascript.rhino.Node):962:false |==> true
337:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getExceptionHandler(com.google.javascript.rhino.Node):973:!cur.isScript() && !cur.isFunction() |==> !cur.isScript() == !cur.isFunction()
338:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getExceptionHandler(com.google.javascript.rhino.Node):973:!cur.isScript() && !cur.isFunction() |==> false
339:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getExceptionHandler(com.google.javascript.rhino.Node):973:!cur.isScript() && !cur.isFunction() |==> !cur.isScript()
340:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getExceptionHandler(com.google.javascript.rhino.Node):973:!cur.isScript() && !cur.isFunction() |==> !cur.isFunction()
341:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@getExceptionHandler(com.google.javascript.rhino.Node):976:catchNode != null |==> true
342:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):988:block.isBlock() && block.getParent().isTry() |==> block.isBlock() == block.getParent().isTry()
343:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):988:block.isBlock() && block.getParent().isTry() |==> false
344:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):988:block.isBlock() && block.getParent().isTry() |==> block.isBlock()
345:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):989:block.isBlock() && block.getParent().isTry() |==> block.getParent().isTry()
346:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):990:block.getParent().getFirstChild() == block |==> false
347:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):988:block.isBlock() && block.getParent().isTry() && block.getParent().getFirstChild() == block |==> (block.isBlock() && block.getParent().isTry()) == (block.getParent().getFirstChild() == block)
348:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):989:block.isBlock() && block.getParent().isTry() && block.getParent().getFirstChild() == block |==> false
349:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):988:block.isBlock() && block.getParent().isTry() && block.getParent().getFirstChild() == block |==> block.isBlock() && block.getParent().isTry()
350:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):990:block.isBlock() && block.getParent().isTry() && block.getParent().getFirstChild() == block |==> block.getParent().getFirstChild() == block
351:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@getCatchHandlerForBlock(com.google.javascript.rhino.Node):991:s != null |==> true
